season,week,team,division,record,playoff_prob,made_playoffs
2012,6,JAX,AFC South,1-4,0.046,0
2012,6,CAR,NFC South,1-4,0.013,0
2012,6,CLE,AFC North,1-5,0.008,0
2012,6,NO,NFC South,1-4,0.006,0
2012,7,ATL,NFC South,6-0,0.994,1
2012,7,HOU,AFC South,6-1,0.966,1
2012,7,BAL,AFC North,5-2,0.928,1
2012,7,CHI,NFC North,5-1,0.796,0
2012,7,NYG,NFC East,5-2,0.718,0
2012,7,SF,NFC West,5-2,0.653,1
2012,7,MIN,NFC North,5-2,0.642,1
2012,7,DEN,AFC West,3-3,0.619,1
2012,7,NE,AFC East,4-3,0.522,1
2012,7,SD,AFC West,3-3,0.514,0
2012,7,SEA,NFC West,4-3,0.459,1
2012,7,MIA,AFC East,3-3,0.446,0
2012,7,PIT,AFC North,3-3,0.402,0
2012,7,ARI,NFC West,4-3,0.373,0
2012,7,GB,NFC North,4-3,0.362,1
2012,7,IND,AFC South,3-3,0.337,1
2012,7,BUF,AFC East,3-4,0.32,0
2012,7,PHI,NFC East,3-3,0.303,0
2012,7,DAL,NFC East,3-3,0.263,0
2012,7,CIN,AFC North,3-4,0.257,1
2012,7,NYJ,AFC East,3-4,0.257,0
2012,7,TEN,AFC South,3-4,0.185,0
2012,7,WAS,NFC East,3-4,0.183,1
2012,7,OAK,AFC West,2-4,0.171,0
2012,7,STL,NFC West,3-4,0.118,0
2012,7,DET,NFC North,2-4,0.053,0
2012,7,TB,NFC South,2-4,0.048,0
2012,7,KC,AFC West,1-5,0.036,0
2012,7,NO,NFC South,2-4,0.036,0
2012,7,JAX,AFC South,1-5,0.027,0
2012,7,CLE,AFC North,1-6,0.013,0
2012,7,CAR,NFC South,1-5,0,0
2012,8,ATL,NFC South,7-0,0.998,1
2012,8,HOU,AFC South,6-1,0.983,1
2012,8,CHI,NFC North,6-1,0.918,0
2012,8,NYG,NFC East,6-2,0.903,0
2012,8,SF,NFC West,6-2,0.895,1
2012,8,BAL,AFC North,5-2,0.851,1
2012,8,NE,AFC East,5-3,0.699,1
2012,8,DEN,AFC West,4-3,0.657,1
2012,8,MIN,NFC North,5-3,0.547,1
2012,8,PIT,AFC North,4-3,0.514,0
2012,8,GB,NFC North,5-3,0.499,1
2012,8,MIA,AFC East,4-3,0.491,0
2012,8,IND,AFC South,4-3,0.48,1
2012,8,SD,AFC West,3-4,0.387,0
2012,8,OAK,AFC West,3-4,0.305,0
2012,8,SEA,NFC West,4-4,0.272,1
2012,8,CIN,AFC North,3-4,0.219,1
2012,8,DAL,NFC East,3-4,0.217,0
2012,8,ARI,NFC West,4-4,0.213,0
2012,8,BUF,AFC East,3-4,0.213,0
2012,8,PHI,NFC East,3-4,0.198,0
2012,8,WAS,NFC East,3-5,0.107,1
2012,8,NYJ,AFC East,3-5,0.095,0
2012,8,TEN,AFC South,3-5,0.093,0
2012,8,TB,NFC South,3-4,0.091,0
2012,8,DET,NFC North,3-4,0.061,0
2012,8,STL,NFC West,3-5,0.061,0
2012,8,NO,NFC South,2-5,0.021,0
2012,8,KC,AFC West,1-6,0.008,0
2012,8,JAX,AFC South,1-6,0.004,0
2012,8,CLE,AFC North,2-6,0.002,0
2012,8,CAR,NFC South,1-6,0,0
2012,9,ATL,NFC South,8-0,1,1
2012,9,HOU,AFC South,7-1,0.983,1
2012,9,CHI,NFC North,7-1,0.968,0
2012,9,SF,NFC West,6-2,0.92,1
2012,9,NYG,NFC East,6-3,0.899,0
2012,9,BAL,AFC North,6-2,0.863,1
2012,9,DEN,AFC West,5-3,0.834,1
2012,9,PIT,AFC North,5-3,0.771,0
2012,9,NE,AFC East,5-3,0.741,1
2012,9,GB,NFC North,6-3,0.699,1
2012,9,IND,AFC South,5-3,0.562,1
2012,9,MIA,AFC East,4-4,0.436,0
2012,9,SEA,NFC West,5-4,0.373,1
2012,9,MIN,NFC North,5-4,0.349,1
2012,9,SD,AFC West,4-4,0.291,0
2012,9,TB,NFC South,4-4,0.185,0
2012,9,OAK,AFC West,3-5,0.179,0
2012,9,DAL,NFC East,3-5,0.149,0
2012,9,BUF,AFC East,3-5,0.141,0
2012,9,DET,NFC North,4-4,0.124,0
2012,9,PHI,NFC East,3-5,0.118,0
2012,9,CIN,AFC North,3-5,0.093,1
2012,9,ARI,NFC West,4-5,0.091,0
2012,9,NYJ,AFC East,3-5,0.086,0
2012,9,WAS,NFC East,3-6,0.055,1
2012,9,STL,NFC West,3-5,0.042,0
2012,9,NO,NFC South,3-5,0.023,0
2012,9,TEN,AFC South,3-6,0.019,0
2012,9,CAR,NFC South,2-6,0.004,0
2012,9,KC,AFC West,1-7,0.002,0
2012,9,CLE,AFC North,2-7,0,0
2012,9,JAX,AFC South,1-7,0,0
2012,10,HOU,AFC South,8-1,1,1
2012,10,ATL,NFC South,8-1,0.998,1
2012,10,CHI,NFC North,7-2,0.962,0
2012,10,BAL,AFC North,7-2,0.943,1
2012,10,DEN,AFC West,6-3,0.912,1
2012,10,SF,NFC West,6-2-1,0.884,1
2012,10,NE,AFC East,6-3,0.848,1
2012,10,PIT,AFC North,6-3,0.846,0
2012,10,NYG,NFC East,6-4,0.838,0
2012,10,IND,AFC South,6-3,0.773,1
2012,10,GB,NFC North,6-3,0.697,1
2012,10,SEA,NFC West,6-4,0.524,1
2012,10,MIN,NFC North,6-4,0.297,1
2012,10,TB,NFC South,5-4,0.278,0
2012,10,DAL,NFC East,4-5,0.229,0
2012,10,MIA,AFC East,4-5,0.208,0
2012,10,SD,AFC West,4-5,0.185,0
2012,10,CIN,AFC North,4-5,0.086,1
2012,10,DET,NFC North,4-5,0.072,0
2012,10,OAK,AFC West,3-6,0.065,0
2012,10,ARI,NFC West,4-5,0.061,0
2012,10,NO,NFC South,4-5,0.057,0
2012,10,BUF,AFC East,3-6,0.053,0
2012,10,NYJ,AFC East,3-6,0.042,0
2012,10,PHI,NFC East,3-6,0.042,0
2012,10,TEN,AFC South,4-6,0.036,0
2012,10,WAS,NFC East,3-6,0.032,1
2012,10,STL,NFC West,3-5-1,0.029,0
2012,10,CLE,AFC North,2-7,0.002,0
2012,10,CAR,NFC South,2-7,0,0
2012,10,JAX,AFC South,1-8,0,0
2012,10,KC,AFC West,1-8,0,0
2012,11,HOU,AFC South,9-1,1,1
2012,11,ATL,NFC South,9-1,0.996,1
2012,11,BAL,AFC North,8-2,0.996,1
2012,11,DEN,AFC West,7-3,0.994,1
2012,11,SF,NFC West,7-2-1,0.964,1
2012,11,NE,AFC East,7-3,0.941,1
2012,11,CHI,NFC North,7-3,0.848,0
2012,11,PIT,AFC North,6-4,0.792,0
2012,11,GB,NFC North,7-3,0.773,1
2012,11,IND,AFC South,6-4,0.762,1
2012,11,NYG,NFC East,6-4,0.686,0
2012,11,SEA,NFC West,6-4,0.518,1
2012,11,DAL,NFC East,5-5,0.366,0
2012,11,TB,NFC South,6-4,0.356,0
2012,11,MIN,NFC North,6-4,0.309,1
2012,11,CIN,AFC North,5-5,0.171,1
2012,11,NO,NFC South,5-5,0.078,0
2012,11,NYJ,AFC East,4-6,0.074,0
2012,11,SD,AFC West,4-6,0.074,0
2012,11,MIA,AFC East,4-6,0.072,0
2012,11,BUF,AFC East,4-6,0.069,0
2012,11,WAS,NFC East,4-6,0.053,1
2012,11,TEN,AFC South,4-6,0.044,0
2012,11,ARI,NFC West,4-6,0.019,0
2012,11,PHI,NFC East,3-7,0.017,0
2012,11,DET,NFC North,4-6,0.013,0
2012,11,OAK,AFC West,3-7,0.013,0
2012,11,STL,NFC West,3-6-1,0.004,0
2012,11,CAR,NFC South,2-8,0,0
2012,11,CLE,AFC North,2-8,0,0
2012,11,JAX,AFC South,1-9,0,0
2012,11,KC,AFC West,1-9,0,0
2012,12,ATL,NFC South,10-1,1,1
2012,12,DEN,AFC West,8-3,1,1
2012,12,HOU,AFC South,10-1,1,1
2012,12,BAL,AFC North,9-2,0.996,1
2012,12,SF,NFC West,8-2-1,0.992,1
2012,12,NE,AFC East,8-3,0.981,1
2012,12,CHI,NFC North,8-3,0.945,0
2012,12,GB,NFC North,7-4,0.857,1
2012,12,IND,AFC South,7-4,0.848,1
2012,12,NYG,NFC East,7-4,0.836,0
2012,12,PIT,AFC North,6-5,0.6,0
2012,12,SEA,NFC West,6-5,0.429,1
2012,12,CIN,AFC North,6-5,0.356,1
2012,12,TB,NFC South,6-5,0.326,0
2012,12,MIN,NFC North,6-5,0.229,1
2012,12,DAL,NFC East,5-6,0.175,0
2012,12,WAS,NFC East,5-6,0.131,1
2012,12,MIA,AFC East,5-6,0.082,0
2012,12,NO,NFC South,5-6,0.065,0
2012,12,SD,AFC West,4-7,0.048,0
2012,12,BUF,AFC East,4-7,0.036,0
2012,12,NYJ,AFC East,4-7,0.034,0
2012,12,TEN,AFC South,4-7,0.017,0
2012,12,STL,NFC West,4-6-1,0.008,0
2012,12,DET,NFC North,4-7,0.004,0
2012,12,ARI,NFC West,4-7,0.002,0
2012,12,OAK,AFC West,3-8,0.002,0
2012,12,CAR,NFC South,3-8,0,0
2012,12,CLE,AFC North,3-8,0,0
2012,12,JAX,AFC South,2-9,0,0
2012,12,KC,AFC West,1-10,0,0
2012,12,PHI,NFC East,3-8,0,0
2012,13,ATL,NFC South,11-1,1,1
2012,13,DEN,AFC West,9-3,1,1
2012,13,HOU,AFC South,11-1,1,1
2012,13,NE,AFC East,9-3,1,1
2012,13,BAL,AFC North,9-3,0.987,1
2012,13,SF,NFC West,8-3-1,0.987,1
2012,13,CHI,NFC North,8-4,0.916,0
2012,13,GB,NFC North,8-4,0.916,1
2012,13,IND,AFC South,8-4,0.884,1
2012,13,NYG,NFC East,7-5,0.693,0
2012,13,SEA,NFC West,7-5,0.682,1
2012,13,PIT,AFC North,7-5,0.651,0
2012,13,CIN,AFC North,7-5,0.444,1
2012,13,WAS,NFC East,6-6,0.244,1
2012,13,DAL,NFC East,6-6,0.219,0
2012,13,TB,NFC South,6-6,0.158,0
2012,13,MIN,NFC North,6-6,0.131,1
2012,13,STL,NFC West,5-6-1,0.042,0
2012,13,BUF,AFC East,5-7,0.013,0
2012,13,NO,NFC South,5-7,0.013,0
2012,13,NYJ,AFC East,5-7,0.013,0
2012,13,MIA,AFC East,5-7,0.006,0
2012,13,SD,AFC West,4-8,0.002,0
2012,13,ARI,NFC West,4-8,0,0
2012,13,CAR,NFC South,3-9,0,0
2012,13,CLE,AFC North,4-8,0,0
2012,13,DET,NFC North,4-8,0,0
2012,13,JAX,AFC South,2-10,0,0
2012,13,KC,AFC West,2-10,0,0
2012,13,OAK,AFC West,3-9,0,0
2012,13,PHI,NFC East,3-9,0,0
2012,13,TEN,AFC South,4-8,0,0
2012,14,ATL,NFC South,11-2,1,1
2012,14,DEN,AFC West,10-3,1,1
2012,14,HOU,AFC South,11-2,1,1
2012,14,NE,AFC East,10-3,1,1
2012,14,SF,NFC West,9-3-1,0.992,1
2012,14,IND,AFC South,9-4,0.989,1
2012,14,BAL,AFC North,9-4,0.985,1
2012,14,GB,NFC North,9-4,0.954,1
2012,14,CHI,NFC North,8-5,0.829,0
2012,14,SEA,NFC West,8-5,0.712,1
2012,14,NYG,NFC East,8-5,0.632,0
2012,14,PIT,AFC North,7-6,0.556,0
2012,14,CIN,AFC North,7-6,0.394,1
2012,14,DAL,NFC East,7-6,0.354,0
2012,14,WAS,NFC East,7-6,0.341,1
2012,14,MIN,NFC North,7-6,0.103,1
2012,14,STL,NFC West,6-6-1,0.065,0
2012,14,NYJ,AFC East,6-7,0.061,0
2012,14,TB,NFC South,6-7,0.019,0
2012,14,BUF,AFC East,5-8,0.006,0
2012,14,SD,AFC West,5-8,0.004,0
2012,14,CLE,AFC North,5-8,0.002,0
2012,14,MIA,AFC East,5-8,0.002,0
2012,14,ARI,NFC West,4-9,0,0
2012,14,CAR,NFC South,4-9,0,0
2012,14,DET,NFC North,4-9,0,0
2012,14,JAX,AFC South,2-11,0,0
2012,14,KC,AFC West,2-11,0,0
2012,14,NO,NFC South,5-8,0,0
2012,14,OAK,AFC West,3-10,0,0
2012,14,PHI,NFC East,4-9,0,0
2012,14,TEN,AFC South,4-9,0,0
2012,15,ATL,NFC South,12-2,1,1
2012,15,DEN,AFC West,11-3,1,1
2012,15,HOU,AFC South,12-2,1,1
2012,15,NE,AFC East,10-4,1,1
2012,15,SF,NFC West,10-3-1,1,1
2012,15,GB,NFC North,10-4,0.998,1
2012,15,IND,AFC South,9-5,0.987,1
2012,15,BAL,AFC North,9-5,0.981,1
2012,15,SEA,NFC West,9-5,0.874,1
2012,15,CIN,AFC North,8-6,0.665,1
2012,15,CHI,NFC North,8-6,0.547,0
2012,15,WAS,NFC East,8-6,0.526,1
2012,15,NYG,NFC East,8-6,0.448,0
2012,15,DAL,NFC East,8-6,0.436,0
2012,15,PIT,AFC North,7-7,0.36,0
2012,15,MIN,NFC North,8-6,0.171,1
2012,15,NYJ,AFC East,6-8,0.004,0
2012,15,MIA,AFC East,6-8,0.002,0
2012,15,ARI,NFC West,5-9,0,0
2012,15,BUF,AFC East,5-9,0,0
2012,15,CAR,NFC South,5-9,0,0
2012,15,CLE,AFC North,5-9,0,0
2012,15,DET,NFC North,4-10,0,0
2012,15,JAX,AFC South,2-12,0,0
2012,15,KC,AFC West,2-12,0,0
2012,15,NO,NFC South,6-8,0,0
2012,15,OAK,AFC West,4-10,0,0
2012,15,PHI,NFC East,4-10,0,0
2012,15,SD,AFC West,5-9,0,0
2012,15,STL,NFC West,6-7-1,0,0
2012,15,TB,NFC South,6-8,0,0
2012,15,TEN,AFC South,5-9,0,0
2012,16,ATL,NFC South,13-2,1,1
2012,16,BAL,AFC North,10-5,1,1
2012,16,CIN,AFC North,9-6,1,1
2012,16,DEN,AFC West,12-3,1,1
2012,16,GB,NFC North,11-4,1,1
2012,16,HOU,AFC South,12-3,1,1
2012,16,IND,AFC South,10-5,1,1
2012,16,NE,AFC East,11-4,1,1
2012,16,SF,NFC West,10-4-1,1,1
2012,16,SEA,NFC West,10-5,0.962,1
2012,16,WAS,NFC East,9-6,0.752,1
2012,16,CHI,NFC North,9-6,0.594,0
2012,16,MIN,NFC North,9-6,0.387,1
2012,16,DAL,NFC East,8-7,0.154,0
2012,16,NYG,NFC East,8-7,0.152,0
2012,16,ARI,NFC West,5-10,0,0
2012,16,BUF,AFC East,5-10,0,0
2012,16,CAR,NFC South,6-9,0,0
2012,16,CLE,AFC North,5-10,0,0
2012,16,DET,NFC North,4-11,0,0
2012,16,JAX,AFC South,2-13,0,0
2012,16,KC,AFC West,2-13,0,0
2012,16,MIA,AFC East,7-8,0,0
2012,16,NO,NFC South,7-8,0,0
2012,16,NYJ,AFC East,6-9,0,0
2012,16,OAK,AFC West,4-11,0,0
2012,16,PHI,NFC East,4-11,0,0
2012,16,PIT,AFC North,7-8,0,0
2012,16,SD,AFC West,6-9,0,0
2012,16,STL,NFC West,7-7-1,0,0
2012,16,TB,NFC South,6-9,0,0
2012,16,TEN,AFC South,5-10,0,0
2012,17,ATL,NFC South,13-3,1,1
2012,17,BAL,AFC North,10-6,1,1
2012,17,CIN,AFC North,10-6,1,1
2012,17,DEN,AFC West,13-3,1,1
2012,17,GB,NFC North,11-5,1,1
2012,17,HOU,AFC South,12-4,1,1
2012,17,IND,AFC South,11-5,1,1
2012,17,NE,AFC East,12-4,1,1
2012,17,SEA,NFC West,11-5,1,1
2012,17,SF,NFC West,11-4-1,1,1
2012,17,WAS,NFC East,10-6,1,1
2012,17,CHI,NFC North,10-6,0,0
2012,17,MIN,NFC North,10-6,1,1
2012,17,ARI,NFC West,5-11,0,0
2012,17,BUF,AFC East,6-10,0,0
2012,17,CAR,NFC South,7-9,0,0
2012,17,CLE,AFC North,5-11,0,0
2012,17,DAL,NFC East,8-8,0,0
2012,17,DET,NFC North,4-12,0,0
2012,17,JAX,AFC South,2-14,0,0
2012,17,KC,AFC West,2-14,0,0
2012,17,MIA,AFC East,7-9,0,0
2012,17,NO,NFC South,7-9,0,0
2012,17,NYG,NFC East,9-7,0,0
2012,17,NYJ,AFC East,6-10,0,0
2012,17,OAK,AFC West,4-12,0,0
2012,17,PHI,NFC East,4-12,0,0
2012,17,PIT,AFC North,8-8,0,0
2012,17,SD,AFC West,7-9,0,0
2012,17,STL,NFC West,7-8-1,0,0
2012,17,TB,NFC South,7-9,0,0
2012,17,TEN,AFC South,6-10,0,0
2013,1,KC,AFC West,1-0,0.495,1
2013,1,MIA,AFC East,1-0,0.484,0
2013,1,NO,NFC South,1-0,0.482,1
2013,1,TEN,AFC South,1-0,0.478,0
2013,1,PHI,NFC East,1-0,0.476,1
2013,1,CHI,NFC North,1-0,0.467,0
2013,1,SEA,NFC West,1-0,0.463,1
2013,1,STL,NFC West,1-0,0.463,0
2013,1,HOU,AFC South,1-0,0.459,0
2013,1,NYJ,AFC East,1-0,0.459,0
2013,1,IND,AFC South,1-0,0.453,1
2013,1,DET,NFC North,1-0,0.448,0
2013,1,NE,AFC East,1-0,0.446,1
2013,1,SF,NFC West,1-0,0.442,1
2013,1,DAL,NFC East,1-0,0.413,0
2013,1,DEN,AFC West,1-0,0.398,1
2013,1,CIN,AFC North,0-1,0.343,1
2013,1,BAL,AFC North,0-1,0.337,0
2013,1,CAR,NFC South,0-1,0.314,1
2013,1,ATL,NFC South,0-1,0.312,0
2013,1,NYG,NFC East,0-1,0.312,0
2013,1,OAK,AFC West,0-1,0.312,0
2013,1,TB,NFC South,0-1,0.301,0
2013,1,CLE,AFC North,0-1,0.299,0
2013,1,WAS,NFC East,0-1,0.293,0
2013,1,MIN,NFC North,0-1,0.288,0
2013,1,GB,NFC North,0-1,0.286,1
2013,1,SD,AFC West,0-1,0.274,1
2013,1,PIT,AFC North,0-1,0.269,0
2013,1,JAX,AFC South,0-1,0.248,0
2013,1,BUF,AFC East,0-1,0.246,0
2013,1,ARI,NFC West,0-1,0.24,0
2013,2,NO,NFC South,2-0,0.712,1
2013,2,SEA,NFC West,2-0,0.669,1
2013,2,CHI,NFC North,2-0,0.634,0
2013,2,MIA,AFC East,2-0,0.619,0
2013,2,KC,AFC West,2-0,0.592,1
2013,2,NE,AFC East,2-0,0.587,1
2013,2,DEN,AFC West,2-0,0.566,1
2013,2,HOU,AFC South,2-0,0.562,0
2013,2,DET,NFC North,1-1,0.533,0
2013,2,PHI,NFC East,1-1,0.531,1
2013,2,DAL,NFC East,1-1,0.493,0
2013,2,SF,NFC West,1-1,0.455,1
2013,2,CIN,AFC North,1-1,0.406,1
2013,2,TEN,AFC South,1-1,0.402,0
2013,2,NYJ,AFC East,1-1,0.392,0
2013,2,STL,NFC West,1-1,0.389,0
2013,2,IND,AFC South,1-1,0.373,1
2013,2,BAL,AFC North,1-1,0.354,0
2013,2,ATL,NFC South,1-1,0.297,0
2013,2,GB,NFC North,1-1,0.286,1
2013,2,SD,AFC West,1-1,0.236,1
2013,2,ARI,NFC West,1-1,0.223,0
2013,2,OAK,AFC West,1-1,0.213,0
2013,2,BUF,AFC East,1-1,0.211,0
2013,2,PIT,AFC North,0-2,0.208,0
2013,2,CAR,NFC South,0-2,0.185,1
2013,2,CLE,AFC North,0-2,0.183,0
2013,2,NYG,NFC East,0-2,0.173,0
2013,2,WAS,NFC East,0-2,0.149,0
2013,2,MIN,NFC North,0-2,0.145,0
2013,2,TB,NFC South,0-2,0.126,0
2013,2,JAX,AFC South,0-2,0.097,0
2013,3,NO,NFC South,3-0,0.863,1
2013,3,SEA,NFC West,3-0,0.844,1
2013,3,CHI,NFC North,3-0,0.834,0
2013,3,KC,AFC West,3-0,0.754,1
2013,3,DEN,AFC West,3-0,0.716,1
2013,3,MIA,AFC East,3-0,0.707,0
2013,3,NE,AFC East,3-0,0.676,1
2013,3,DAL,NFC East,2-1,0.611,0
2013,3,HOU,AFC South,2-1,0.564,0
2013,3,DET,NFC North,2-1,0.543,0
2013,3,CIN,AFC North,2-1,0.493,1
2013,3,BAL,AFC North,2-1,0.474,0
2013,3,PHI,NFC East,1-2,0.404,1
2013,3,TEN,AFC South,2-1,0.379,0
2013,3,GB,NFC North,1-2,0.345,1
2013,3,IND,AFC South,2-1,0.337,1
2013,3,ATL,NFC South,1-2,0.312,0
2013,3,ARI,NFC West,1-2,0.293,0
2013,3,NYJ,AFC East,2-1,0.28,0
2013,3,STL,NFC West,1-2,0.255,0
2013,3,SF,NFC West,1-2,0.253,1
2013,3,OAK,AFC West,1-2,0.185,0
2013,3,CAR,NFC South,1-2,0.152,1
2013,3,BUF,AFC East,1-2,0.133,0
2013,3,SD,AFC West,1-2,0.114,1
2013,3,CLE,AFC North,1-2,0.109,0
2013,3,NYG,NFC East,0-3,0.093,0
2013,3,TB,NFC South,0-3,0.08,0
2013,3,WAS,NFC East,0-3,0.078,0
2013,3,PIT,AFC North,0-3,0.051,0
2013,3,MIN,NFC North,0-3,0.042,0
2013,3,JAX,AFC South,0-3,0.029,0
2013,4,NO,NFC South,4-0,0.949,1
2013,4,SEA,NFC West,4-0,0.945,1
2013,4,CHI,NFC North,3-1,0.897,0
2013,4,KC,AFC West,4-0,0.806,1
2013,4,DEN,AFC West,4-0,0.8,1
2013,4,NE,AFC East,4-0,0.775,1
2013,4,MIA,AFC East,3-1,0.735,0
2013,4,DET,NFC North,3-1,0.714,0
2013,4,DAL,NFC East,2-2,0.703,0
2013,4,TEN,AFC South,3-1,0.56,0
2013,4,IND,AFC South,3-1,0.524,1
2013,4,CIN,AFC North,2-2,0.448,1
2013,4,BAL,AFC North,2-2,0.419,0
2013,4,SF,NFC West,2-2,0.318,1
2013,4,ARI,NFC West,2-2,0.301,0
2013,4,PHI,NFC East,1-3,0.291,1
2013,4,HOU,AFC South,2-2,0.255,0
2013,4,NYJ,AFC East,2-2,0.221,0
2013,4,GB,NFC North,1-2,0.213,1
2013,4,CAR,NFC South,1-2,0.202,1
2013,4,CLE,AFC North,2-2,0.196,0
2013,4,ATL,NFC South,1-3,0.135,0
2013,4,SD,AFC West,2-2,0.118,1
2013,4,WAS,NFC East,1-3,0.107,0
2013,4,STL,NFC West,1-3,0.099,0
2013,4,BUF,AFC East,2-2,0.091,0
2013,4,MIN,NFC North,1-3,0.057,0
2013,4,NYG,NFC East,0-4,0.055,0
2013,4,OAK,AFC West,1-3,0.038,0
2013,4,TB,NFC South,0-4,0.015,0
2013,4,PIT,AFC North,0-4,0.011,0
2013,4,JAX,AFC South,0-4,0.004,0
2013,5,NO,NFC South,5-0,0.994,1
2013,5,SEA,NFC West,4-1,0.941,1
2013,5,KC,AFC West,5-0,0.928,1
2013,5,DEN,AFC West,5-0,0.899,1
2013,5,NE,AFC East,4-1,0.811,1
2013,5,DET,NFC North,3-2,0.773,0
2013,5,CHI,NFC North,3-2,0.712,0
2013,5,IND,AFC South,4-1,0.644,1
2013,5,DAL,NFC East,2-3,0.526,0
2013,5,TEN,AFC South,3-2,0.507,0
2013,5,SF,NFC West,3-2,0.501,1
2013,5,MIA,AFC East,3-2,0.465,0
2013,5,ARI,NFC West,3-2,0.436,0
2013,5,CIN,AFC North,3-2,0.394,1
2013,5,BAL,AFC North,3-2,0.387,0
2013,5,CLE,AFC North,3-2,0.371,0
2013,5,PHI,NFC East,2-3,0.347,1
2013,5,GB,NFC North,2-2,0.307,1
2013,5,NYJ,AFC East,3-2,0.265,0
2013,5,WAS,NFC East,1-3,0.185,0
2013,5,CAR,NFC South,1-3,0.109,1
2013,5,HOU,AFC South,2-3,0.105,0
2013,5,BUF,AFC East,2-3,0.093,0
2013,5,SD,AFC West,2-3,0.093,1
2013,5,STL,NFC West,2-3,0.061,0
2013,5,MIN,NFC North,1-3,0.059,0
2013,5,OAK,AFC West,2-3,0.036,0
2013,5,ATL,NFC South,1-4,0.027,0
2013,5,NYG,NFC East,0-5,0.015,0
2013,5,TB,NFC South,0-4,0.006,0
2013,5,PIT,AFC North,0-4,0.002,0
2013,5,JAX,AFC South,0-5,0,0
2013,6,KC,AFC West,6-0,0.985,1
2013,6,NO,NFC South,5-1,0.981,1
2013,6,DEN,AFC West,6-0,0.941,1
2013,6,SEA,NFC West,5-1,0.909,1
2013,6,NE,AFC East,5-1,0.844,1
2013,6,DET,NFC North,4-2,0.775,0
2013,6,IND,AFC South,4-2,0.697,1
2013,6,SF,NFC West,4-2,0.581,1
2013,6,CIN,AFC North,4-2,0.556,1
2013,6,PHI,NFC East,3-3,0.554,1
2013,6,CHI,NFC North,4-2,0.547,0
2013,6,MIA,AFC East,3-2,0.469,0
2013,6,GB,NFC North,3-2,0.465,1
2013,6,DAL,NFC East,3-3,0.417,0
2013,6,TEN,AFC South,3-3,0.368,0
2013,6,BAL,AFC North,3-3,0.366,0
2013,6,ARI,NFC West,3-3,0.354,0
2013,6,CLE,AFC North,3-3,0.32,0
2013,6,NYJ,AFC East,3-3,0.192,0
2013,6,STL,NFC West,3-3,0.147,0
2013,6,CAR,NFC South,2-3,0.114,1
2013,6,SD,AFC West,3-3,0.088,1
2013,6,WAS,NFC East,1-4,0.088,0
2013,6,HOU,AFC South,2-4,0.069,0
2013,6,BUF,AFC East,2-4,0.053,0
2013,6,OAK,AFC West,2-4,0.04,0
2013,6,MIN,NFC North,1-4,0.036,0
2013,6,ATL,NFC South,1-4,0.021,0
2013,6,PIT,AFC North,1-4,0.008,0
2013,6,NYG,NFC East,0-6,0.006,0
2013,6,TB,NFC South,0-5,0.004,0
2013,6,JAX,AFC South,0-6,0.002,0
2013,7,KC,AFC West,7-0,0.998,1
2013,7,SEA,NFC West,6-1,0.975,1
2013,7,DEN,AFC West,6-1,0.968,1
2013,7,NO,NFC South,5-1,0.964,1
2013,7,IND,AFC South,5-2,0.895,1
2013,7,CIN,AFC North,5-2,0.874,1
2013,7,NE,AFC East,5-2,0.874,1
2013,7,SF,NFC West,5-2,0.779,1
2013,7,GB,NFC North,4-2,0.651,1
2013,7,DET,NFC North,4-3,0.636,0
2013,7,DAL,NFC East,4-3,0.629,0
2013,7,CHI,NFC North,4-3,0.469,0
2013,7,PHI,NFC East,3-4,0.417,1
2013,7,NYJ,AFC East,4-3,0.293,0
2013,7,MIA,AFC East,3-3,0.282,0
2013,7,SD,AFC West,4-3,0.208,1
2013,7,TEN,AFC South,3-4,0.175,0
2013,7,BAL,AFC North,3-4,0.162,0
2013,7,CAR,NFC South,3-3,0.162,1
2013,7,ARI,NFC West,3-4,0.126,0
2013,7,CLE,AFC North,3-4,0.105,0
2013,7,WAS,NFC East,2-4,0.078,0
2013,7,STL,NFC West,3-4,0.074,0
2013,7,BUF,AFC East,3-4,0.051,0
2013,7,HOU,AFC South,2-5,0.048,0
2013,7,OAK,AFC West,2-4,0.042,0
2013,7,ATL,NFC South,2-4,0.029,0
2013,7,PIT,AFC North,2-4,0.025,0
2013,7,NYG,NFC East,1-6,0.006,0
2013,7,MIN,NFC North,1-5,0.004,0
2013,7,JAX,AFC South,0-7,0,0
2013,7,TB,NFC South,0-6,0,0
2013,8,KC,AFC West,8-0,1,1
2013,8,SEA,NFC West,7-1,0.994,1
2013,8,NO,NFC South,6-1,0.977,1
2013,8,DEN,AFC West,7-1,0.968,1
2013,8,CIN,AFC North,6-2,0.954,1
2013,8,NE,AFC East,6-2,0.926,1
2013,8,IND,AFC South,5-2,0.909,1
2013,8,SF,NFC West,6-2,0.857,1
2013,8,GB,NFC North,5-2,0.783,1
2013,8,DAL,NFC East,4-4,0.726,0
2013,8,DET,NFC North,5-3,0.657,0
2013,8,CHI,NFC North,4-3,0.36,0
2013,8,NYJ,AFC East,4-4,0.322,0
2013,8,SD,AFC West,4-3,0.236,1
2013,8,PHI,NFC East,3-5,0.2,1
2013,8,MIA,AFC East,3-4,0.198,0
2013,8,CAR,NFC South,4-3,0.196,1
2013,8,TEN,AFC South,3-4,0.16,0
